"from","to","m","km","miles","seconds","minutes","hours","lon","lat","minutes_discrete","city"
"330 Bowdoin St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",7636,7.636,4.7450104,2225,37.0833333333333,0.618055555555556,-71.064993,42.308406,"(35,40]","Boston"
"70 Church St, Boston, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",7339,7.339,4.5604546,1881,31.35,0.5225,-71.059993,42.308406,"(30,35]","Boston"
"1216 Dorchester Ave, Dorchester, MA 02125, USA","1 City Hall Square, Boston, MA 02108, USA",6948,6.948,4.3174872,1710,28.5,0.475,-71.054993,42.308406,"(25,30]","Boston"
"191 Savin Hill Ave, Dorchester, MA 02125, USA","1 City Hall Square, Boston, MA 02108, USA",6857,6.857,4.2609398,1645,27.4166666666667,0.456944444444444,-71.049993,42.308406,"(25,30]","Boston"
"406 Morrissey Blvd, Boston, MA 02125, USA","1 City Hall Square, Boston, MA 02108, USA",7462,7.462,4.6368868,2108,35.1333333333333,0.585555555555556,-71.044993,42.308406,"(35,40]","Boston"
"Harborwalk, Boston, MA 02125, USA","1 City Hall Square, Boston, MA 02108, USA",3468,3.468,2.1550152,1298,21.6333333333333,0.360555555555556,-71.039993,42.308406,"(20,25]","Boston"
"Harborwalk, Boston, MA 02125, USA","1 City Hall Square, Boston, MA 02108, USA",3468,3.468,2.1550152,1298,21.6333333333333,0.360555555555556,-71.034993,42.308406,"(20,25]","Boston"
"Harborwalk, Boston, MA 02125, USA","1 City Hall Square, Boston, MA 02108, USA",3468,3.468,2.1550152,1298,21.6333333333333,0.360555555555556,-71.029993,42.308406,"(20,25]","Boston"
"Harborwalk, Boston, MA 02125, USA","1 City Hall Square, Boston, MA 02108, USA",3468,3.468,2.1550152,1298,21.6333333333333,0.360555555555556,-71.024993,42.308406,"(20,25]","Boston"
"171 Dorchester St, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14593,14.593,9.0680902,2630,43.8333333333333,0.730555555555556,-71.019993,42.308406,"(40,45]","Boston"
NA,NA,NA,NA,NA,NA,NA,NA,-71.014993,42.308406,NA,"Boston"
